run_id,mode,requested_replace,effective_replace,n_target_windows,exhausted_fraction,trigger_sample,delay,status
45,noise_4,4,0,4,0.0,,,no_replacement
45,exhaustion,-1,0,4,0.0,,,no_replacement
46,baseline,0,0,4,0.0,250.0,90.0,triggered
46,noise_1,1,0,4,0.0,,,no_replacement
46,noise_2,2,0,4,0.0,,,no_replacement
46,noise_3,3,0,4,0.0,,,no_replacement
46,noise_4,4,0,4,0.0,,,no_replacement
46,exhaustion,-1,0,4,0.0,,,no_replacement
47,baseline,0,0,4,0.0,270.0,110.0,triggered
47,noise_1,1,1,4,0.25,300.0,140.0,triggered
47,noise_2,2,2,4,0.5,310.0,150.0,triggered
47,noise_3,3,3,4,0.75,310.0,150.0,triggered
47,noise_4,4,4,4,1.0,310.0,150.0,triggered
47,exhaustion,-1,4,4,1.0,310.0,150.0,triggered
48,baseline,0,0,4,0.0,280.0,120.0,triggered
48,noise_1,1,1,4,0.25,310.0,150.0,triggered
48,noise_2,2,2,4,0.5,320.0,160.0,triggered
48,noise_3,3,3,4,0.75,320.0,160.0,triggered
48,noise_4,4,4,4,1.0,320.0,160.0,triggered
48,exhaustion,-1,4,4,1.0,320.0,160.0,triggered
49,baseline,0,0,4,0.0,250.0,90.0,triggered
49,noise_1,1,1,4,0.25,290.0,130.0,triggered
49,noise_2,2,2,4,0.5,280.0,120.0,triggered
49,noise_3,3,3,4,0.75,280.0,120.0,triggered
49,noise_4,4,4,4,1.0,290.0,130.0,triggered
49,exhaustion,-1,4,4,1.0,290.0,130.0,triggered
50,baseline,0,0,5,0.0,390.0,230.0,triggered
50,noise_1,1,1,5,0.2,390.0,230.0,triggered
50,noise_2,2,2,5,0.4,430.0,270.0,triggered
50,noise_3,3,3,5,0.6,420.0,260.0,triggered
50,noise_4,4,4,5,0.8,430.0,270.0,triggered
50,exhaustion,-1,5,5,1.0,430.0,270.0,triggered
