run_id,mode,requested_block,actual_block_size,segment_length,block_fraction,trigger_sample,locked_fraction,max_locked_duration,maintenance_survived,status
45,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
46,block_1,1,0,0,0.0,250,0.88,66,False,no_replacement
46,block_2,2,0,0,0.0,250,0.88,66,False,no_replacement
46,block_3,3,0,0,0.0,250,0.88,66,False,no_replacement
46,block_5,5,0,0,0.0,250,0.88,66,False,no_replacement
46,block_10,10,0,0,0.0,250,0.88,66,False,no_replacement
46,maintenance_exhaustion,-1,0,0,0.0,250,0.88,66,False,no_replacement
47,block_1,1,1,68,0.014705882352941176,270,0.72,29,True,triggered
47,block_2,2,2,68,0.029411764705882353,270,0.7066666666666667,29,True,triggered
47,block_3,3,3,68,0.04411764705882353,270,0.6933333333333334,28,True,triggered
47,block_5,5,5,68,0.07352941176470588,270,0.6666666666666666,27,True,triggered
47,block_10,10,10,68,0.14705882352941177,270,0.6,25,True,triggered
47,maintenance_exhaustion,-1,68,68,1.0,270,0.0,0,False,triggered
48,block_1,1,1,50,0.02,280,0.5066666666666667,20,True,triggered
48,block_2,2,2,50,0.04,280,0.49333333333333335,20,True,triggered
48,block_3,3,3,50,0.06,280,0.48,19,True,triggered
48,block_5,5,5,50,0.1,280,0.4533333333333333,18,True,triggered
48,block_10,10,10,50,0.2,280,0.38666666666666666,16,True,triggered
48,maintenance_exhaustion,-1,61,61,1.0,280,0.0,0,False,triggered
49,block_1,1,1,45,0.022222222222222223,250,0.5866666666666667,18,True,triggered
49,block_2,2,2,45,0.044444444444444446,250,0.5733333333333334,18,True,triggered
49,block_3,3,3,45,0.06666666666666667,250,0.56,18,True,triggered
49,block_5,5,5,45,0.1111111111111111,250,0.5333333333333333,18,True,triggered
49,block_10,10,10,45,0.2222222222222222,250,0.4666666666666667,18,True,triggered
49,maintenance_exhaustion,-1,67,67,1.0,250,0.0,0,False,triggered
50,block_1,1,1,56,0.017857142857142856,390,0.56,23,True,triggered
50,block_2,2,2,56,0.03571428571428571,390,0.5466666666666666,23,True,triggered
50,block_3,3,3,56,0.05357142857142857,390,0.5333333333333333,22,True,triggered
50,block_5,5,5,56,0.08928571428571429,390,0.5066666666666667,21,True,triggered
50,block_10,10,10,56,0.17857142857142858,390,0.44,19,True,triggered
50,maintenance_exhaustion,-1,56,56,1.0,390,0.0,0,False,triggered
