run_id,population,attack_mode,relock_rate,relock_time,quality_score,locked_fraction,drop_rate,quality_class
48,B,block_3,1.0,10.0,0.2822265625,0.53125,0.46875,collapse
48,B,block_5,1.0,10.0,0.26638917793964617,0.5161290322580645,0.4838709677419355,collapse
48,B,block_10,1.0,10.0,0.21556122448979592,0.4642857142857143,0.5357142857142857,collapse
48,B,block_15,1.0,10.0,0.1789940828402367,0.4230769230769231,0.5769230769230769,collapse
48,B,block_20,1.0,10.0,0.12098298676748581,0.34782608695652173,0.6521739130434783,collapse
49,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
49,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
49,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
49,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
49,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
50,A,block_3,1.0,10.0,1.0,1.0,0.0,stable
50,A,block_5,1.0,10.0,1.0,1.0,0.0,stable
50,A,block_10,1.0,10.0,1.0,1.0,0.0,stable
50,A,block_15,1.0,10.0,1.0,1.0,0.0,stable
50,A,block_20,1.0,10.0,1.0,1.0,0.0,stable
