run_id,attack_size,n_target_windows,effective_replace,exhausted_fraction,trigger_sample,delay,status
45,50,0,0,0.0,250,90,no_replacement
45,all_pre_trigger,0,0,0.0,250,90,no_replacement
46,10,0,0,0.0,250,90,no_replacement
46,20,0,0,0.0,250,90,no_replacement
46,30,0,0,0.0,250,90,no_replacement
46,40,0,0,0.0,250,90,no_replacement
46,50,0,0,0.0,250,90,no_replacement
46,all_pre_trigger,0,0,0.0,250,90,no_replacement
47,10,4,4,1.0,310,150,triggered
47,20,4,4,1.0,310,150,triggered
47,30,4,4,1.0,310,150,triggered
47,40,4,4,1.0,310,150,triggered
47,50,4,4,1.0,310,150,triggered
47,all_pre_trigger,4,4,1.0,310,150,triggered
48,10,4,4,1.0,320,160,triggered
48,20,4,4,1.0,320,160,triggered
48,30,4,4,1.0,320,160,triggered
48,40,4,4,1.0,320,160,triggered
48,50,4,4,1.0,320,160,triggered
48,all_pre_trigger,4,4,1.0,320,160,triggered
49,10,4,4,1.0,290,130,triggered
49,20,4,4,1.0,290,130,triggered
49,30,4,4,1.0,290,130,triggered
49,40,4,4,1.0,290,130,triggered
49,50,4,4,1.0,290,130,triggered
49,all_pre_trigger,4,4,1.0,290,130,triggered
50,10,5,5,1.0,430,270,triggered
50,20,8,8,1.0,430,270,triggered
50,30,8,8,1.0,430,270,triggered
50,40,8,8,1.0,430,270,triggered
50,50,8,8,1.0,430,270,triggered
50,all_pre_trigger,8,8,1.0,430,270,triggered
