run_id,population,attack_mode,relock_window,first_drop_window,relock_to_drop_latency,drop_position_fraction,post_relock_max_duration,secondary_drop_count,secondary_drop_rate,labels
10,A,block_10,63.0,83.0,20.0,0.8695652173913043,20,1.0,0.043478260869565216,stable_floor;oscillatory
10,A,block_15,66.0,83.0,17.0,0.85,17,1.0,0.05,stable_floor;oscillatory
10,A,block_20,68.0,83.0,15.0,0.8333333333333334,15,1.0,0.05555555555555555,stable_floor;oscillatory
11,A,block_3,47.0,55.0,8.0,0.20512820512820512,19,1.0,0.02564102564102564,early_break;oscillatory
11,A,block_5,48.0,55.0,7.0,0.18421052631578946,19,1.0,0.02631578947368421,early_break;oscillatory
11,A,block_10,50.0,55.0,5.0,0.1388888888888889,19,1.0,0.027777777777777776,early_break;oscillatory
11,A,block_15,53.0,55.0,2.0,0.06060606060606061,19,1.0,0.030303030303030304,early_break;oscillatory
11,A,block_20,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
12,A,block_3,72.0,,14.0,1.0,14,0.0,0.0,stable_floor
12,A,block_5,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
12,A,block_10,76.0,,10.0,1.0,10,0.0,0.0,stable_floor
12,A,block_15,78.0,,8.0,1.0,8,0.0,0.0,stable_floor
12,A,block_20,81.0,,5.0,1.0,5,0.0,0.0,stable_floor
13,A,block_3,64.0,,22.0,1.0,22,0.0,0.0,stable_floor
13,A,block_5,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
13,A,block_10,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
13,A,block_15,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
13,A,block_20,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
14,A,block_3,80.0,,6.0,1.0,6,0.0,0.0,stable_floor
14,A,block_5,81.0,,5.0,1.0,5,0.0,0.0,stable_floor
14,A,block_10,84.0,,2.0,1.0,2,0.0,0.0,stable_floor
14,A,block_15,,,,,0,,,none
14,A,block_20,,,,,0,,,none
15,B,block_3,45.0,54.0,9.0,0.21951219512195122,9,2.0,0.04878048780487805,early_break;oscillatory;persistent_floor
15,B,block_5,46.0,54.0,8.0,0.2,8,2.0,0.05,early_break;oscillatory;persistent_floor
15,B,block_10,49.0,54.0,5.0,0.13513513513513514,5,2.0,0.05405405405405406,early_break;oscillatory;persistent_floor
15,B,block_15,51.0,54.0,3.0,0.08571428571428572,3,2.0,0.05714285714285714,early_break;oscillatory;persistent_floor
15,B,block_20,64.0,67.0,3.0,0.13636363636363635,3,1.0,0.045454545454545456,early_break;oscillatory;persistent_floor
16,A,block_3,59.0,77.0,18.0,0.6666666666666666,18,1.0,0.037037037037037035,oscillatory
16,A,block_5,60.0,77.0,17.0,0.6538461538461539,17,1.0,0.038461538461538464,oscillatory
16,A,block_10,63.0,77.0,14.0,0.6086956521739131,14,1.0,0.043478260869565216,oscillatory
16,A,block_15,65.0,77.0,12.0,0.5714285714285714,12,1.0,0.047619047619047616,oscillatory
16,A,block_20,68.0,77.0,9.0,0.5,9,1.0,0.05555555555555555,oscillatory
17,A,block_3,61.0,,25.0,1.0,25,0.0,0.0,stable_floor
17,A,block_5,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
17,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
17,A,block_15,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
17,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
18,A,block_3,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
18,A,block_5,68.0,,18.0,1.0,18,0.0,0.0,stable_floor
18,A,block_10,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
18,A,block_15,73.0,,13.0,1.0,13,0.0,0.0,stable_floor
18,A,block_20,75.0,,11.0,1.0,11,0.0,0.0,stable_floor
19,A,block_3,56.0,74.0,18.0,0.6,18,1.0,0.03333333333333333,oscillatory
19,A,block_5,57.0,74.0,17.0,0.5862068965517241,17,1.0,0.034482758620689655,oscillatory
19,A,block_10,59.0,74.0,15.0,0.5555555555555556,15,1.0,0.037037037037037035,oscillatory
19,A,block_15,62.0,74.0,12.0,0.5,12,1.0,0.041666666666666664,oscillatory
19,A,block_20,64.0,74.0,10.0,0.45454545454545453,10,1.0,0.045454545454545456,oscillatory
20,A,block_3,61.0,,25.0,1.0,25,0.0,0.0,stable_floor
20,A,block_5,62.0,,24.0,1.0,24,0.0,0.0,stable_floor
20,A,block_10,65.0,,21.0,1.0,21,0.0,0.0,stable_floor
20,A,block_15,67.0,,19.0,1.0,19,0.0,0.0,stable_floor
20,A,block_20,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
21,A,block_3,69.0,,17.0,1.0,17,0.0,0.0,stable_floor
21,A,block_5,70.0,,16.0,1.0,16,0.0,0.0,stable_floor
21,A,block_10,72.0,,14.0,1.0,14,0.0,0.0,stable_floor
21,A,block_15,75.0,,11.0,1.0,11,0.0,0.0,stable_floor
21,A,block_20,77.0,,9.0,1.0,9,0.0,0.0,stable_floor
22,B,block_3,37.0,38.0,1.0,0.02040816326530612,7,2.0,0.04081632653061224,early_break;oscillatory;persistent_floor
22,B,block_5,67.0,74.0,7.0,0.3684210526315789,7,1.0,0.05263157894736842,oscillatory
22,B,block_10,67.0,74.0,7.0,0.3684210526315789,7,1.0,0.05263157894736842,oscillatory
22,B,block_15,67.0,74.0,7.0,0.3684210526315789,7,1.0,0.05263157894736842,oscillatory
22,B,block_20,67.0,74.0,7.0,0.3684210526315789,7,1.0,0.05263157894736842,oscillatory
23,B,block_3,61.0,70.0,9.0,0.36,9,1.0,0.04,oscillatory
23,B,block_5,62.0,70.0,8.0,0.3333333333333333,8,1.0,0.041666666666666664,oscillatory
23,B,block_10,64.0,70.0,6.0,0.2727272727272727,6,1.0,0.045454545454545456,early_break;oscillatory;persistent_floor
23,B,block_15,67.0,70.0,3.0,0.15789473684210525,4,1.0,0.05263157894736842,early_break;oscillatory;persistent_floor
23,B,block_20,69.0,70.0,1.0,0.058823529411764705,4,1.0,0.058823529411764705,early_break;oscillatory;persistent_floor
