subset_size,subset_id,variables,normal_mass,f13_mass,delta_mass,retention_ratio
5,44,"xmeas_30,xmeas_31,xmeas_34,xmeas_6,xmeas_8",0.15607289855399042,0.17386503026115138,0.017792131707160957,1.1139988541290928
5,45,"xmeas_11,xmeas_13,xmeas_2,xmeas_41,xmeas_8",0.1263827246157792,0.7927233735671224,0.6663406489513433,6.272402936001496
5,46,"xmeas_1,xmeas_17,xmeas_19,xmeas_38,xmeas_6",0.1321857444751717,0.1554487233700668,0.023262978894895092,1.175987046633957
5,47,"xmeas_1,xmeas_13,xmeas_26,xmeas_38,xmeas_5",0.13979040032876403,0.18166492983442273,0.0418745295056587,1.2995522530676031
5,48,"xmeas_16,xmeas_22,xmeas_33,xmeas_35,xmeas_8",0.1400229602489725,0.1619897107704493,0.021966750521476786,1.1568796315027914
5,49,"xmeas_17,xmeas_24,xmeas_31,xmeas_40,xmeas_5",0.1407753691568273,0.1448555606341426,0.004080191477315281,1.0289837021835224
5,50,"xmeas_12,xmeas_20,xmeas_21,xmeas_28,xmeas_6",0.13857568224808295,0.1428726963005786,0.004297014052495662,1.0310084271618605
5,51,"xmeas_1,xmeas_20,xmeas_25,xmeas_36,xmeas_38",0.15515629240602785,0.16656087020274274,0.011404577796714888,1.0735038038903373
5,52,"xmeas_18,xmeas_28,xmeas_30,xmeas_4,xmeas_6",0.13927747452036357,0.15125353195254895,0.011976057432185383,1.0859870367755389
5,53,"xmeas_18,xmeas_29,xmeas_33,xmeas_36,xmeas_7",0.15302749210066469,0.6606180809553389,0.5075905888546742,4.316989525575388
5,54,"xmeas_1,xmeas_12,xmeas_26,xmeas_35,xmeas_5",0.1549143551760678,0.16031080793474883,0.005396452758681031,1.0348350716049792
5,55,"xmeas_13,xmeas_21,xmeas_25,xmeas_30,xmeas_39",0.13727403652043296,0.1864373722470435,0.049163335726610524,1.3581400885190598
5,56,"xmeas_15,xmeas_16,xmeas_18,xmeas_38,xmeas_5",0.12636389418378058,0.7468221460161814,0.6204582518324008,5.910091250741388
5,57,"xmeas_10,xmeas_11,xmeas_12,xmeas_18,xmeas_21",0.1273125437456689,0.16720313426932562,0.03989059052365673,1.3133280446584508
5,58,"xmeas_3,xmeas_31,xmeas_36,xmeas_37,xmeas_5",0.1432883366003678,0.16091611258689717,0.01762777598652937,1.1230231035718632
5,59,"xmeas_13,xmeas_32,xmeas_38,xmeas_40,xmeas_8",0.15930800579468302,0.14625169175716143,-0.013056314037521582,0.918043578135345
