fault_number,W,S,typical_mass,max_stationary_occupancy,stationary_entropy_norm,typical_edge_count,typical_edge_entropy,self_loop_mass,cycle_mass,dominant_pair,taxonomy_class
0,100,10,0.75,0.22214633798609734,0.9286552466401417,27,0.8382511599988955,0.5888759989557772,0.41112400104422275,XMEAS8-XMEAS9,diffuse_wandering
4,100,10,0.75,0.18709588660718054,0.9448795398987243,28,0.8417795496515849,0.5965052239832224,0.40349477601677763,XMEAS8-XMEAS9,diffuse_wandering
6,100,10,0.75,0.9886874662356775,0.03551155861218939,1,0.0,0.9898867969269824,0.010113203073017552,XMEAS7-XMEAS11,single_edge_attractor
8,100,10,0.75,0.9921801612100986,0.0262011470159963,1,0.0,0.9920403594526731,0.007959640547326896,XMEAS7-XMEAS11,single_edge_attractor
12,100,10,0.75,0.5874043130329226,0.4814622498364506,2,0.9193476387919328,0.8667234097269658,0.13327659027303418,XMEAS9-XMEAS11,metastable_basin
13,100,10,0.75,0.9539953400630262,0.11986741302109707,1,0.0,0.9670295892777006,0.03297041072229945,XMEAS7-XMEAS11,single_edge_attractor
14,100,10,0.75,0.996667879206885,0.011063519078549137,1,0.0,0.9962774973421005,0.003722502657899529,XMEAS7-XMEAS11,single_edge_attractor
15,100,10,0.75,0.22371627615935605,0.9329815136164384,28,0.8396713179127445,0.5812672734801793,0.41873272651982074,XMEAS8-XMEAS9,diffuse_wandering
16,100,10,0.75,0.22106361435668784,0.9424771001827724,28,0.8402538760923123,0.5896043422933895,0.41039565770661046,XMEAS8-XMEAS9,diffuse_wandering
17,100,10,0.75,0.49842391500101135,0.42442163821201856,2,0.997153054329675,0.8362933547895487,0.1637066452104513,XMEAS7-XMEAS11,metastable_basin
18,100,10,0.75,0.7710200032997065,0.29844840591935423,2,0.6918677272473542,0.926002632377092,0.07399736762290798,XMEAS7-XMEAS11,single_edge_attractor
0,100,10,0.8,0.22214633798609734,0.9286552466401417,35,0.8317665965805209,0.5888759989557772,0.41112400104422275,XMEAS8-XMEAS9,diffuse_wandering
4,100,10,0.8,0.18709588660718054,0.9448795398987243,36,0.8346997941481693,0.5965052239832224,0.40349477601677763,XMEAS8-XMEAS9,diffuse_wandering
6,100,10,0.8,0.9886874662356775,0.03551155861218939,1,0.0,0.9898867969269824,0.010113203073017552,XMEAS7-XMEAS11,single_edge_attractor
8,100,10,0.8,0.9921801612100986,0.0262011470159963,1,0.0,0.9920403594526731,0.007959640547326896,XMEAS7-XMEAS11,single_edge_attractor
12,100,10,0.8,0.5874043130329226,0.4814622498364506,2,0.9193476387919328,0.8667234097269658,0.13327659027303418,XMEAS9-XMEAS11,metastable_basin
13,100,10,0.8,0.9539953400630262,0.11986741302109707,1,0.0,0.9670295892777006,0.03297041072229945,XMEAS7-XMEAS11,single_edge_attractor
14,100,10,0.8,0.996667879206885,0.011063519078549137,1,0.0,0.9962774973421005,0.003722502657899529,XMEAS7-XMEAS11,single_edge_attractor
15,100,10,0.8,0.22371627615935605,0.9329815136164384,36,0.8321380536775372,0.5812672734801793,0.41873272651982074,XMEAS8-XMEAS9,diffuse_wandering
16,100,10,0.8,0.22106361435668784,0.9424771001827724,37,0.8311367694857268,0.5896043422933895,0.41039565770661046,XMEAS8-XMEAS9,diffuse_wandering
17,100,10,0.8,0.49842391500101135,0.42442163821201856,2,0.997153054329675,0.8362933547895487,0.1637066452104513,XMEAS7-XMEAS11,metastable_basin
18,100,10,0.8,0.7710200032997065,0.29844840591935423,2,0.6918677272473542,0.926002632377092,0.07399736762290798,XMEAS7-XMEAS11,single_edge_attractor
0,100,10,0.9,0.22214633798609734,0.9286552466401417,55,0.8250738216359459,0.5888759989557772,0.41112400104422275,XMEAS8-XMEAS9,diffuse_wandering
4,100,10,0.9,0.18709588660718054,0.9448795398987243,56,0.8302944483459033,0.5965052239832224,0.40349477601677763,XMEAS8-XMEAS9,diffuse_wandering
6,100,10,0.9,0.9886874662356775,0.03551155861218939,1,0.0,0.9898867969269824,0.010113203073017552,XMEAS7-XMEAS11,single_edge_attractor
8,100,10,0.9,0.9921801612100986,0.0262011470159963,1,0.0,0.9920403594526731,0.007959640547326896,XMEAS7-XMEAS11,single_edge_attractor
12,100,10,0.9,0.5874043130329226,0.4814622498364506,8,0.5305655352177395,0.8667234097269658,0.13327659027303418,XMEAS9-XMEAS11,partial_locking
13,100,10,0.9,0.9539953400630262,0.11986741302109707,1,0.0,0.9670295892777006,0.03297041072229945,XMEAS7-XMEAS11,single_edge_attractor
14,100,10,0.9,0.996667879206885,0.011063519078549137,1,0.0,0.9962774973421005,0.003722502657899529,XMEAS7-XMEAS11,single_edge_attractor
15,100,10,0.9,0.22371627615935605,0.9329815136164384,57,0.8264573084262353,0.5812672734801793,0.41873272651982074,XMEAS8-XMEAS9,diffuse_wandering
16,100,10,0.9,0.22106361435668784,0.9424771001827724,58,0.8247061548230521,0.5896043422933895,0.41039565770661046,XMEAS8-XMEAS9,diffuse_wandering
17,100,10,0.9,0.49842391500101135,0.42442163821201856,4,0.7660700391200157,0.8362933547895487,0.1637066452104513,XMEAS7-XMEAS11,metastable_basin
18,100,10,0.9,0.7710200032997065,0.29844840591935423,2,0.6918677272473542,0.926002632377092,0.07399736762290798,XMEAS7-XMEAS11,single_edge_attractor
0,100,20,0.75,0.22016237967078423,0.9287262732163416,36,0.8932352278260265,0.44813927623513916,0.5518607237648608,XMEAS8-XMEAS9,diffuse_wandering
4,100,20,0.75,0.18743067974745997,0.9429174154626132,39,0.8995236074562103,0.44923176826724864,0.5507682317327514,XMEAS8-XMEAS9,diffuse_wandering
6,100,20,0.75,0.9904319506295697,0.030191985828101953,1,0.0,0.9879897072694329,0.012010292730567085,XMEAS7-XMEAS11,single_edge_attractor
8,100,20,0.75,0.992814619004513,0.023910328645927573,1,0.0,0.9899516854501764,0.010048314549823578,XMEAS7-XMEAS11,single_edge_attractor
12,100,20,0.75,0.5803463192003306,0.47813889970993373,2,0.9271902659051268,0.8104859465918274,0.18951405340817262,XMEAS9-XMEAS11,metastable_basin
13,100,20,0.75,0.9558739869381525,0.11563996074241145,1,0.0,0.952147338840397,0.04785266115960296,XMEAS7-XMEAS11,single_edge_attractor
14,100,20,0.75,0.9972626890600353,0.00903260388757107,1,0.0,0.9962651943954719,0.003734805604528102,XMEAS7-XMEAS11,single_edge_attractor
15,100,20,0.75,0.22290713207117122,0.9336032103766045,37,0.8942970365387397,0.44673685093419646,0.5532631490658035,XMEAS8-XMEAS9,diffuse_wandering
16,100,20,0.75,0.2197074313417552,0.944100079677397,38,0.8917908683606749,0.4506724393659418,0.5493275606340582,XMEAS8-XMEAS9,diffuse_wandering
17,100,20,0.75,0.5109033125152578,0.4118230679641817,3,0.8688763845230477,0.7597858095378427,0.2402141904621573,XMEAS7-XMEAS11,metastable_basin
18,100,20,0.75,0.7937166720883468,0.2716992576967708,2,0.6271059636066862,0.896814858458994,0.103185141541006,XMEAS7-XMEAS11,metastable_basin
0,100,20,0.8,0.22016237967078423,0.9287262732163416,43,0.8932984651526978,0.44813927623513916,0.5518607237648608,XMEAS8-XMEAS9,diffuse_wandering
4,100,20,0.8,0.18743067974745997,0.9429174154626132,45,0.9000410727462659,0.44923176826724864,0.5507682317327514,XMEAS8-XMEAS9,diffuse_wandering
6,100,20,0.8,0.9904319506295697,0.030191985828101953,1,0.0,0.9879897072694329,0.012010292730567085,XMEAS7-XMEAS11,single_edge_attractor
8,100,20,0.8,0.992814619004513,0.023910328645927573,1,0.0,0.9899516854501764,0.010048314549823578,XMEAS7-XMEAS11,single_edge_attractor
12,100,20,0.8,0.5803463192003306,0.47813889970993373,3,0.7203772298405837,0.8104859465918274,0.18951405340817262,XMEAS9-XMEAS11,metastable_basin
13,100,20,0.8,0.9558739869381525,0.11563996074241145,1,0.0,0.952147338840397,0.04785266115960296,XMEAS7-XMEAS11,single_edge_attractor
14,100,20,0.8,0.9972626890600353,0.00903260388757107,1,0.0,0.9962651943954719,0.003734805604528102,XMEAS7-XMEAS11,single_edge_attractor
15,100,20,0.8,0.22290713207117122,0.9336032103766045,44,0.8926862212244492,0.44673685093419646,0.5532631490658035,XMEAS8-XMEAS9,diffuse_wandering
16,100,20,0.8,0.2197074313417552,0.944100079677397,46,0.8916553843243894,0.4506724393659418,0.5493275606340582,XMEAS8-XMEAS9,diffuse_wandering
17,100,20,0.8,0.5109033125152578,0.4118230679641817,3,0.8688763845230477,0.7597858095378427,0.2402141904621573,XMEAS7-XMEAS11,metastable_basin
18,100,20,0.8,0.7937166720883468,0.2716992576967708,2,0.6271059636066862,0.896814858458994,0.103185141541006,XMEAS7-XMEAS11,metastable_basin
0,100,20,0.9,0.22016237967078423,0.9287262732163416,60,0.8914931610844059,0.44813927623513916,0.5518607237648608,XMEAS8-XMEAS9,diffuse_wandering
4,100,20,0.9,0.18743067974745997,0.9429174154626132,61,0.9017945237058059,0.44923176826724864,0.5507682317327514,XMEAS8-XMEAS9,diffuse_wandering
6,100,20,0.9,0.9904319506295697,0.030191985828101953,1,0.0,0.9879897072694329,0.012010292730567085,XMEAS7-XMEAS11,single_edge_attractor
8,100,20,0.9,0.992814619004513,0.023910328645927573,1,0.0,0.9899516854501764,0.010048314549823578,XMEAS7-XMEAS11,single_edge_attractor
12,100,20,0.9,0.5803463192003306,0.47813889970993373,10,0.5495458741063439,0.8104859465918274,0.18951405340817262,XMEAS9-XMEAS11,partial_locking
13,100,20,0.9,0.9558739869381525,0.11563996074241145,1,0.0,0.952147338840397,0.04785266115960296,XMEAS7-XMEAS11,single_edge_attractor
14,100,20,0.9,0.9972626890600353,0.00903260388757107,1,0.0,0.9962651943954719,0.003734805604528102,XMEAS7-XMEAS11,single_edge_attractor
15,100,20,0.9,0.22290713207117122,0.9336032103766045,62,0.8898730480218159,0.44673685093419646,0.5532631490658035,XMEAS8-XMEAS9,diffuse_wandering
16,100,20,0.9,0.2197074313417552,0.944100079677397,64,0.888779653405591,0.4506724393659418,0.5493275606340582,XMEAS8-XMEAS9,diffuse_wandering
17,100,20,0.9,0.5109033125152578,0.4118230679641817,4,0.8477727075307462,0.7597858095378427,0.2402141904621573,XMEAS7-XMEAS11,metastable_basin
18,100,20,0.9,0.7937166720883468,0.2716992576967708,3,0.5371684306497391,0.896814858458994,0.103185141541006,XMEAS7-XMEAS11,metastable_basin
0,150,5,0.75,0.22344456058738232,0.9291591545699304,10,0.9150557781129861,0.7499044790008591,0.2500955209991409,XMEAS8-XMEAS9,partial_locking
4,150,5,0.75,0.19095827019403153,0.9440829522230614,9,0.9666165185585763,0.7608697359318656,0.23913026406813442,XMEAS8-XMEAS9,partial_locking
6,150,5,0.75,0.9973657885961988,0.009984509029329812,1,0.0,0.997132377459153,0.002867622540847048,XMEAS7-XMEAS11,single_edge_attractor
8,150,5,0.75,0.995558165786071,0.015542369766882738,1,0.0,0.9972756284263372,0.002724371573662787,XMEAS7-XMEAS11,single_edge_attractor
12,150,5,0.75,0.6560131159312999,0.40911297676456726,2,0.8652397292201887,0.9421070046244349,0.05789299537556514,XMEAS9-XMEAS11,single_edge_attractor
13,150,5,0.75,0.9798642212418395,0.059552985120767794,1,0.0,0.9917648823233227,0.008235117676677284,XMEAS7-XMEAS11,single_edge_attractor
14,150,5,0.75,0.9973128584019355,0.009809265523656498,1,0.0,0.9981061376648775,0.0018938623351224537,XMEAS7-XMEAS11,single_edge_attractor
15,150,5,0.75,0.22193379907084418,0.940740338239711,10,0.9265635709301336,0.751097843975588,0.248902156024412,XMEAS8-XMEAS9,partial_locking
16,150,5,0.75,0.21867545182392176,0.9443366118567801,10,0.9320610848300332,0.7502642037687511,0.24973579623124886,XMEAS8-XMEAS9,partial_locking
17,150,5,0.75,0.5122025691164748,0.36867235576678353,2,0.9976911780354412,0.9270299526991371,0.07297004730086287,XMEAS7-XMEAS11,single_edge_attractor
18,150,5,0.75,0.7479022600890628,0.32160714038199745,2,0.7504521102422911,0.9592995392040484,0.040700460795951576,XMEAS7-XMEAS11,single_edge_attractor
